,joke,label,no_of_words
0,"Dad jokes are a lot like sex. The louder you groan, the better the job Im doing!",dadjokes,80
1,What do you get when you send a wolf to therapy? Aware wolf!,dadjokes,60
2,What do you call a duck on drugs?  A quack head.,dadjokes,48
3,My wife told me I should do lunges to stay in shape That would be a big step forward,dadjokes,84
4,Mathematicians think that normal people are rude and not nice. They think an average person is a mean person.,dadjokes,109
5,"Did you know that trucks can hear? Yes they can, thanks to the work of engineers.",dadjokes,81
6,Why did the Vampire become a vegetarian? Because his Dr. told him Stake is bad for his heart!,dadjokes,93
7,"To whoever stole my antidepressants last night, I hope you're happy.",dadjokes,68
8,What kinda tree fits in your hand? A palm tree,dadjokes,46
9,Why did the Romans ban Goth music? Because of all the Saxon violence!,dadjokes,69
10,"My friend got a job in a factory that makes Dracula figurines. Theres only one other coworker on that line, so he has to make every second count.",dadjokes,145
11,"Is it okay for monks to send e-mails? Yes, as long as there are no attachments.",dadjokes,79
12,Here's one in Spanish. Uno.,dadjokes,27
13,"Celebrating Oktoberfest in America is always challenging. I hope for the best, but prepare for the wurst.",dadjokes,105
14,"Did you hear about the 100 ft. tall glasses sculpture they made? Yeah, it's a spectacle.",dadjokes,88
15,The only thing flat-earthers fear is sphere itself,dadjokes,50
16,What do you call a kangaroo who's starred in Oliver Twist? A more-soup-ial,dadjokes,74
17,"When my uncle Frank died, he wanted his remains to be buried in his favorite beer mug. His last wish was to be Frank in Stein.",dadjokes,126
18,What do dung beetles bring to the shower? Sham-poo,dadjokes,50
19,"How much does a roof cost? Nothing, it's on the house.",dadjokes,54
20,What did the dad say when his kid peed all over the bathroom floor? Urine trouble!,dadjokes,82
21,What do you call a quiet Karen? A Sharon,dadjokes,40
22,I got a new job operating a forklift. It's an okay job. It has it's ups and downs.,dadjokes,82
23,Where are all dad jokes stored at? The Dadabank!,dadjokes,48
24,Why are horses always so negative? Because they're neigh-sayers.,dadjokes,64
25,What are Michael Jacksons pronouns? He/he,dadjokes,41
26,"Im not a gynaecologist, but Ill take look.",dadjokes,42
27,I thought making bread in France would be easy But its really a pain.,dadjokes,69
28,"I went to the library and asked the librarian if they had a book on Pavlov and Schrdinger. The librarian said, That rings a bell, but Im not sure if its here.(Got this from my dad, so I felt obligated to post it here)",dadjokes,217
29,I watched a girl get her nose pierced at the bar yesterday In other words Im really bad at darts,dadjokes,96
30,Eating in the dark is bad for your health I prefer lighter lunches,dadjokes,66
31,Why can't a nose be 12 inches? Because it'd be a foot.Edit : typo,dadjokes,65
32,Why do police get to riots early? To beat the crowd.,dadjokes,52
