,joke,label,no_of_words
0,"Reposts... r/Jokes has a search feature, input the title or punchline of your joke (before posting) and if it's been posted within the last month - please don't submit it.",jokes,171
1,"A boy excitedly reports to his miserly father... ""Papa!"" the boy exclaims. ""Instead of buying a bus ticket, I ran home behind the bus and saved a dollar!""The father immediately slaps the child. ""Spendthrift!"" he screams. ""You could have run home behind a taxi and saved twenty!""",jokes,278
2,"How to determine sex of aquarium fish? Easy. Give it some food. If he eats it, then it's a male, if she eats it, then it's a female.",jokes,132
3,"Why do they bury lawyers 12 feet deep? Because deep down, they're really nice guys.",jokes,83
4,"As the patient recovers from laser eye surgery, the surgeon comes in asks if they want the good news or the bad news first...... The patient excitedly replies, Ill take the good news first.The surgeon tells them, Well, youre about to get a new dog!",jokes,248
5,"""Sorry, we don't serve time travelers here."" The bartender said A time traveler walks into a bar",jokes,96
6,What do you call a lawyer with an IQ of 50? Your Honor.,jokes,55
7,My annual cake day joke repost - how can you tell the difference between a plumber and a chemist? Ask them to pronounce unionized,jokes,129
8,I quit my job at the helium gas factory I didn't like being spoken to in that tone.,jokes,83
9,A girl went to confession. Girl: I think I am pregnant.Priest: How did this happen my child?Girl: I think it might have been the second coming.Priest: What makes you think it's the second coming?Girl: Because I swallowed the first one father.,jokes,242
10,The inventor of virtual reality has died VR sorry for his death,jokes,63
11,"What do you call when you cross a penguin with a katana? An ambulance, because nobody crosses a penguin with a katana",jokes,117
12,Why does Snoop Dogg carry an umbrella? Fo drizzle.,jokes,50
13,Can you take a skin graft from your buttocks and put it on someone who isn't family? Arse skin for a friend!,jokes,108
14,I always feel like a 9 or 10 after I leave a buffet.... Because I over ate.,jokes,75
15,So it's ok for DC to call a character Black Adam? But when I call my coworker Black Tony I get called into HR.,jokes,110
16,"A billionaire, a worker, and an immigrant approach a table with 1000 cookies The billionaire takes 999 cookies and tells the worker, ""watch out, that immigrant is going to snatch your cookie.""",jokes,192
17,Whats 18 long and hangs around an asshole! A lawyers tie!,jokes,57
18,"Big Bird walks into a bar  Big Bird walks into a gritty bar off Sesame Street and sits all alone and orders a beer. ""Sometimes I just feel left out by all my peers. You know, all alone,"" he complains to the bartender. ""I guess I just feel ostrich sized.""",jokes,254
19,"The Doctor walked into the patients room to give him the update. "" Well I've have good news and I have bad news"" he says."" Give me the bad news Doc"" said the patient"" We will have to amputate both of your feet!"" The doctor replies."" That really is bad news, so what's the good news"" ""The guy in the bed beside you wants to buy your slippers!!""",jokes,343
20,I've been clean for 52 days now. It's weird to shower everyday but at least I got the heroin to cope with it.,jokes,109
21,What do you call a gay person on fire? LGBBQ,jokes,44
22,"My girlfriend called me a gullible idiot and said I shouldn't believe everything I see on the Internet I told her I don't have to put up with this, not when there are desperate single milfs less than a mile away",jokes,211
23,Ever since I made the switch from a king sized bed to a hammock.... I've had serious trouble getting out of bed in the morning.,jokes,127
24,"An excited kid rushes home to tell his dad the good news. He tells his dad he got a part in the school play. The dad congratulates the son and asks what part he got. Son says Im playing the part of a man whos been married to the same woman for 25 years. Dad says nice son, just keep at it, maybe next time youll get a speaking part.",jokes,332
25,"Picked up a hitch-hiker the other day the guy said to me  Im glad you stopped, but you do know i could be a serial killer I said, whats the chances of two serial killers in one car",jokes,180
26,"I had to apologize to my girlfriend for watching gay porn again. ""Sorry, I wasn't thinking straight.""",jokes,101
27,You hear about the man who killed his wife because she couldnt remember the synonym for train? It was a locomotive,jokes,114
28,"How do you know if an ants a boy or girl? Theyre all girls, otherwise theyd be uncles!",jokes,86
29,Two guys walk into a bar. One gets up.,jokes,38
30,I caught my coworker watching porn during our meeting He said this is his home security camera,jokes,94
31,"I went to the movies and there was a man who brought his dog into the theater with him. After the movie, I went up to the man and I said ""Hey this might sound weird, but it seemed like your dog was really enjoying the movie."" The man said ""Yeah, I'm suprised too, because he *hated* the book!""",jokes,293
32,"Joke Request: Best man speech I am writing a best man speech for my brothers wedding. Him and his fiance met at schoolies (a big holiday of partying people go to when they finish school un Australia). Does anyone have any good jokes about this I could put in my speech, or any other best man speech jokes I could use? Preferrably offensive jokes but anything is good. Thanks/",jokes,375
33,"[NSFW] What do a plumber and a walrus have in common? They both like a good, tight seal.",jokes,88
34,"Two men are drinking at a bar all night. Finally, one man says to the other, I hate to break up the fun, but Ive got to go home and take off my wifes underwear. The other man replies, What makes you think youll be so lucky? The first man replies while walking out the door, because theyve been riding up my butt all night and Ive had enough.",jokes,341
35,is it true that everyone at the mint went on strike? because they wanted to make less money.,jokes,92
36,Why did Chuck Norris cross the road? Because the road knows NEVER to cross Chuck Norris!!!,jokes,90
37,What do you call a criminal who laughs at everything you say? Jimmy Felon,jokes,73
38,"How to comfort a grammar Nazi? There, their, they're.",jokes,53
39,There is a haunted strip club in my town I asked my wife if I could go see some BoOoOo-bies,jokes,91
40,What math class does a tree with a speech disorder take? Twigonometry.,jokes,70
41,My wife decided to split the house post our divorce I got the outside...,jokes,72
42,"A man sits in his doctors office waiting for some test results The doctor enters;So doc, whats the prognosis?Well, Im afraid youre going to have to stop masturbatingOh no, why?Because Im trying to speak to you about your results",jokes,228
43,How do System of a Down stop their vocalist being electrocuted on stage? A Serj Protector,jokes,89
44,Well now that the BTS boys are going to the army i guess they'll come back with BTSD,jokes,84
45,What was Robin Hood's favourite variety of font? Sans-sheriff,jokes,61
46,My grandma likes to prank us by pretending to choke on her food Its an old gag,jokes,78
47,My girlfriend suffers from a condition called gigantomastia Its a mouthful.,jokes,75
48,Which Martial Art do Cows Practice? MOO THAI,jokes,44
49,I got into a fight with Dwayne Johnson and a tough guy fish I couldn't get out of... I was stuck between a rock and a hard plaice,jokes,129
50,"I have a GREAT new bag. I filled it halfway. Next day, I filled half the remaining volume. Next day, half the remaining volume... at this rate, it'll never fill up! I just love my Asymp tote bag.",jokes,195
51,"Did you ever hear that joke about Taylor series? I dont remember it exactly, but I can tell it pretty close.",jokes,108
52,What do masturbation and brain damage have in common? After a few strokes its all over!,jokes,87
53,What do call the guy who farts in the corn maze? >!A crop duster ! !<,jokes,69
54,"Doctor to the patient: ""You really need to stop masturbing."" ""But it's healthy and I can do whatever I want!"", the patient answered.""Yes, but it really interferes with my examination right now.""",jokes,194
55,How did the Pimp stash his drugs? He used his Heidi hoe,jokes,55
56,Shakespeare was able to write with either his left or right hand equally well... He was iambidextrous.,jokes,102
57,I can hear throught walls. I have X-thunder vision,jokes,50
58,Do you know what I love? Halloween. There's nothing quite like the look on a kids face after they take a bite of a big ole caramel covered onion.,jokes,145
59,Why are Jim Jones jokes still funny? The punchline kills.,jokes,57
60,Q: How do you define duodenum? A: Its where shit starts to get real.,jokes,68
