,joke,label,joke_length_in_words
0,"Dad jokes are a lot like sex. The louder you groan, the better the job I’m doing!",dadjokes,17
1,What do you get when you send a wolf to therapy? Aware wolf!,dadjokes,13
2,What do you call a duck on drugs? 🦆 A quack head.,dadjokes,12
4,My wife told me I should do lunges to stay in shape That would be a big step forward,dadjokes,19
5,Mathematicians think that normal people are rude and not nice. They think an average person is a mean person.,dadjokes,19
6,"Did you know that trucks can hear? Yes they can, thanks to the work of engineers.",dadjokes,16
7,Why did the Vampire become a vegetarian? Because his Dr. told him Stake is bad for his heart!,dadjokes,18
8,"To whoever stole my antidepressants last night, I hope you're happy.",dadjokes,11
9,What kinda tree fits in your hand? A palm tree,dadjokes,10
10,Why did the Romans ban Goth music? Because of all the Saxon violence!,dadjokes,13
11,"My friend got a job in a factory that makes Dracula figurines. There’s only one other coworker on that line, so he has to make every second count.",dadjokes,28
12,"Is it okay for monks to send e-mails? Yes, as long as there are no attachments.",dadjokes,16
13,Here's one in Spanish. Uno.,dadjokes,5
14,"Celebrating Oktoberfest in America is always challenging. I hope for the best, but prepare for the wurst.",dadjokes,17
15,"Did you hear about the 100 ft. tall glasses sculpture they made? Yeah, it's a spectacle.",dadjokes,16
16,The only thing flat-earthers fear is sphere itself,dadjokes,8
17,What do you call a kangaroo who's starred in Oliver Twist? A more-soup-ial,dadjokes,13
18,"When my uncle Frank died, he wanted his remains to be buried in his favorite beer mug. His last wish was to be Frank in Stein.",dadjokes,26
19,What do dung beetles bring to the shower? Sham-poo,dadjokes,9
20,"How much does a roof cost? Nothing, it's on the house.",dadjokes,11
21,What did the dad say when his kid peed all over the bathroom floor? Urine trouble!,dadjokes,16
22,What do you call a quiet Karen? A Sharon,dadjokes,9
23,I got a new job operating a forklift. It's an okay job. It has it's ups and downs.,dadjokes,18
24,Where are all dad jokes stored at? The Dadabank!,dadjokes,9
25,Why are horses always so negative? Because they're neigh-sayers.,dadjokes,9
26,What are Michael Jackson’s pronouns? He/he,dadjokes,6
27,"I’m not a gynaecologist, but I’ll take look.",dadjokes,8
28,I thought making bread in France would be easy… But it’s really a pain.,dadjokes,14
29,"I went to the library and asked the librarian if they had a book on Pavlov and Schrödinger. The librarian said, “That rings a bell, but I’m not sure if it’s here.”

(Got this from my dad, so I felt obligated to post it here)",dadjokes,44
30,I watched a girl get her nose pierced at the bar yesterday In other words I’m really bad at darts,dadjokes,20
31,Eating in the dark is bad for your health I prefer lighter lunches,dadjokes,13
32,"Why can't a nose be 12 inches? Because it'd be a foot.

Edit : typo",dadjokes,14
33,Why do police get to riots early? To beat the crowd.,dadjokes,11
34,What do you call a harvest of dad jokes? A cornycopia.,dadjokes,11
35,God initially planned to use wasps to pollinate flowers  but in the end he went with plan Bee.,dadjokes,19
36,What do the birds and I have in common? We both cannot walk in the sky,dadjokes,16
37,We went through 45 pull-ups at the gym And my infant son still hasn't stopped shitting,dadjokes,16
38,A blind lady once asked me to help find her bible It was the search for the holy braille,dadjokes,19
39,I can come up with airplane jokes on the spot.. I do it on the fly.,dadjokes,16
40,"I was working on a construction site and the delivery driver asked ""why won't you sign for the elevators""? I told him that I'm not allowed to accept lifts off strangers!",dadjokes,31
41,What kind of drug does Elmer Fud use? Cuack cocaine,dadjokes,10
42,what porn website are Air conditioners not allowed to visit? Onlyfans,dadjokes,11
43,I made my fish listen to a whole Eminiem album Now he's swim shady,dadjokes,14
44,"What’s the difference between a hippo and a Zippo? One’s really heavy, the other’s a little lighter.",dadjokes,17
45,"In order to kill a French vampire, you will need to stab him with a baguette. A painstaking task, if you ask me.",dadjokes,23
46,"My daughter got angry at me when I told her we were having bread for dinner ""That's all you'll baguetting if you don't stop complaining"" I replied",dadjokes,27
47,When my wife died I couldn’t shower alone for 12 years But I’m out of prison now,dadjokes,17
48,"Onya, the Track and Field Legend Everyone knows Karl Marx. His sister Onya was a track and field legend. She was such a big star, even in modern times, at the start of any race around the world, her name is said loudly.",dadjokes,43
49,Five ants rented an apartment with five other ants Now they're tenants,dadjokes,12
