,joke,label,joke_length_in_words
0,"Reposts... r/Jokes has a search feature, input the title or punchline of your joke (before posting) and if it's been posted within the last month - please don't submit it.",jokes,30
2,"A boy excitedly reports to his miserly father... ""Papa!"" the boy exclaims. ""Instead of buying a bus ticket, I ran home behind the bus and saved a dollar!""

The father immediately slaps the child. ""Spendthrift!"" he screams. ""You could have run home behind a taxi and saved twenty!""",jokes,47
7,"How to determine sex of aquarium fish? Easy. Give it some food. If he eats it, then it's a male, if she eats it, then it's a female.",jokes,28
9,"Why do they bury lawyers 12 feet deep? Because deep down, they're really nice guys.",jokes,15
10,"As the patient recovers from laser eye surgery, the surgeon comes in asks if they want the good news or the bad news first...... The patient excitedly replies, “I’ll take the good news first.”

The surgeon tells them, “Well, you’re about to get a new dog!”",jokes,45
16,"""Sorry, we don't serve time travelers here."" The bartender said A time traveler walks into a bar",jokes,17
17,What do you call a lawyer with an IQ of 50? Your Honor.,jokes,13
18,My annual cake day joke repost - how can you tell the difference between a plumber and a chemist? Ask them to pronounce unionized,jokes,24
19,I quit my job at the helium gas factory I didn't like being spoken to in that tone.,jokes,18
20,"A girl went to confession. Girl: I think I am pregnant.

Priest: How did this happen my child?

Girl: I think it might have been the second coming.

Priest: What makes you think it's the second coming?

Girl: Because I swallowed the first one father.",jokes,41
24,The inventor of virtual reality has died VR sorry for his death,jokes,12
25,"What do you call when you cross a penguin with a katana? An ambulance, because nobody crosses a penguin with a katana",jokes,22
26,Why does Snoop Dogg carry an umbrella? Fo’ drizzle.,jokes,9
27,Can you take a skin graft from your buttocks and put it on someone who isn't family? Arse skin for a friend!,jokes,22
28,I always feel like a 9 or 10 after I leave a buffet.... Because I over ate.,jokes,17
29,So it's ok for DC to call a character Black Adam? But when I call my coworker Black Tony I get called into HR.,jokes,24
30,"A billionaire, a worker, and an immigrant approach a table with 1000 cookies The billionaire takes 999 cookies and tells the worker, ""watch out, that immigrant is going to snatch your cookie.""",jokes,32
34,What’s 18” long and hangs around an asshole! A lawyer’s tie!,jokes,11
35,"Big Bird walks into a bar  Big Bird walks into a gritty bar off Sesame Street and sits all alone and orders a beer. ""Sometimes I just feel left out by all my peers. You know, all alone,"" he complains to the bartender. ""I guess I just feel ostrich sized.""",jokes,51
36,"The Doctor walked into the patients room to give him the update. "" Well I've have good news and I have bad news"" he says.
"" Give me the bad news Doc"" said the patient
"" We will have to amputate both of your feet!"" The doctor replies.

"" That really is bad news, so what's the good news""

 ""The guy in the bed beside you wants to buy your slippers!!""",jokes,68
37,I've been clean for 52 days now. It's weird to shower everyday but at least I got the heroin to cope with it.,jokes,23
38,What do you call a gay person on fire? LGBBQ,jokes,10
40,"My girlfriend called me a gullible idiot and said I shouldn't believe everything I see on the Internet I told her I don't have to put up with this, not when there are desperate single milfs less than a mile away",jokes,41
42,Ever since I made the switch from a king sized bed to a hammock.... I've had serious trouble getting out of bed in the morning.,jokes,25
43,"An excited kid rushes home to tell his dad the good news. He tells his dad he got a part in the school play. The dad congratulates the son and asks what part he got. Son says I’m playing the part of a man who’s been married to the same woman for 25 years. Dad says nice son, just keep at it, maybe next time you’ll get a speaking part.",jokes,70
45,"Picked up a hitch-hiker the other day…… the guy said to me ” I’m glad you stopped, but you do know i could be a serial killer” 

I said, “what’s the chances of two serial killers in one car”",jokes,39
47,"I had to apologize to my girlfriend for watching gay porn again. ""Sorry, I wasn't thinking straight.""",jokes,17
49,You hear about the man who killed his wife because she couldn’t remember the synonym for train? It was a locomotive,jokes,21
50,"How do you know if an ant’s a boy or girl? They’re all girls, otherwise they’d be uncles!",jokes,18
52,"Two guys walk into a bar. 







One gets up.",jokes,9
53,I caught my coworker watching porn during our meeting He said this is his home security camera,jokes,17
54,"I went to the movies and there was a man who brought his dog into the theater with him. After the movie, I went up to the man and I said ""Hey this might sound weird, but it seemed like your dog was really enjoying the movie."" The man said ""Yeah, I'm suprised too, because he *hated* the book!""",jokes,59
57,"Joke Request: Best man speech I am writing a best man speech for my brothers wedding. Him and his fiance met at schoolies (a big holiday of partying people go to when they finish school un Australia). Does anyone have any good jokes about this I could put in my speech, or any other best man speech jokes I could use? Preferrably offensive jokes but anything is good. Thanks/",jokes,69
58,"[NSFW] What do a plumber and a walrus have in common? They both like a good, tight seal.",jokes,18
59,"Two men are drinking at a bar all night. Finally, one man says to the other, “I hate to break up the fun, but I’ve got to go home and take off my wife’s underwear.” The other man replies, “What makes you think you’ll be so lucky?” The first man replies while walking out the door, “because they’ve been riding up my butt all night and I’ve had enough.”",jokes,69
60,is it true that everyone at the mint went on strike? because they wanted to make less money.,jokes,18
61,Why did Chuck Norris cross the road? Because the road knows NEVER to cross Chuck Norris!!!,jokes,16
62,What do you call a criminal who laughs at everything you say? Jimmy Felon,jokes,14
63,"How to comfort a grammar Nazi? There, their, they're.",jokes,9
64,There is a haunted strip club in my town I asked my wife if I could go see some BoOoOo-bies,jokes,20
65,What math class does a tree with a speech disorder take? Twigonometry.,jokes,12
69,My wife decided to split the house post our divorce I got the outside...,jokes,14
70,"A man sits in his doctor’s office waiting for some test results… The doctor enters;

“So doc, what’s the prognosis?”

“Well, I’m afraid you’re going to have to stop masturbating”

“Oh no, why?”

“Because I’m trying to speak to you about your results”",jokes,39
